value,value_classification,timestamp,time_until_update
22,Extreme Fear,2026-03-05,
18,Extreme Fear,2026-03-06,
12,Extreme Fear,2026-03-07,
12,Extreme Fear,2026-03-08,
8,Extreme Fear,2026-03-09,
13,Extreme Fear,2026-03-10,
15,Extreme Fear,2026-03-11,
18,Extreme Fear,2026-03-12,
15,Extreme Fear,2026-03-13,
16,Extreme Fear,2026-03-14,
15,Extreme Fear,2026-03-15,
23,Extreme Fear,2026-03-16,
28,Fear,2026-03-17,
26,Fear,2026-03-18,
23,Extreme Fear,2026-03-19,
11,Extreme Fear,2026-03-20,
12,Extreme Fear,2026-03-21,
10,Extreme Fear,2026-03-22,
8,Extreme Fear,2026-03-23,
11,Extreme Fear,2026-03-24,
14,Extreme Fear,2026-03-25,
10,Extreme Fear,2026-03-26,
13,Extreme Fear,2026-03-27,
12,Extreme Fear,2026-03-28,74120
